CKJNFLKG_00001 ko:K00041
CKJNFLKG_01726 ko:K07258
CKJNFLKG_01727 -
CKJNFLKG_01728 -
CKJNFLKG_01729 ko:K06024
CKJNFLKG_01730 ko:K05896
CKJNFLKG_01733 ko:K03924
CKJNFLKG_01734 ko:K07098
CKJNFLKG_01735 -
CKJNFLKG_01736 ko:K07258
CKJNFLKG_01738 -
CKJNFLKG_01739 ko:K06131
CKJNFLKG_01740 ko:K02970
CKJNFLKG_01741 ko:K01872
CKJNFLKG_01742 -
CKJNFLKG_01743 -
CKJNFLKG_01744 -
CKJNFLKG_01746 -
CKJNFLKG_01747 -
CKJNFLKG_01748 ko:K01845
CKJNFLKG_01749 ko:K01698
CKJNFLKG_01750 ko:K13542
CKJNFLKG_01751 ko:K02304
CKJNFLKG_01752 ko:K02492
CKJNFLKG_01753 ko:K02007
CKJNFLKG_01754 ko:K02009
CKJNFLKG_01755 ko:K02008
CKJNFLKG_01756 ko:K02006
CKJNFLKG_01757 -
CKJNFLKG_01758 ko:K06042
CKJNFLKG_01759 ko:K02232
CKJNFLKG_01760 -
CKJNFLKG_01761 ko:K02227
CKJNFLKG_01762 ko:K02226
CKJNFLKG_01763 -
CKJNFLKG_01764 ko:K02233
CKJNFLKG_01765 ko:K02231
CKJNFLKG_01766 ko:K00768
CKJNFLKG_01767 ko:K02224
CKJNFLKG_01768 ko:K00595
CKJNFLKG_01769 -
CKJNFLKG_01770 ko:K02189
CKJNFLKG_01771 ko:K05936
CKJNFLKG_01772 ko:K03394
CKJNFLKG_01773 ko:K02188
CKJNFLKG_01774 ko:K06398
CKJNFLKG_01775 -
CKJNFLKG_01776 -
CKJNFLKG_01777 ko:K01491
CKJNFLKG_01778 -
CKJNFLKG_01779 -
CKJNFLKG_01780 -
CKJNFLKG_01781 -
CKJNFLKG_01782 ko:K15023
CKJNFLKG_01783 ko:K00197
CKJNFLKG_01784 ko:K00194
CKJNFLKG_01785 ko:K14138
CKJNFLKG_01786 ko:K07321
CKJNFLKG_01787 ko:K00198
CKJNFLKG_01788 ko:K07321
CKJNFLKG_01789 ko:K00297
CKJNFLKG_01790 -
CKJNFLKG_01791 -
CKJNFLKG_01792 ko:K03546
CKJNFLKG_01793 ko:K03547
CKJNFLKG_01794 -
CKJNFLKG_01795 ko:K02004
CKJNFLKG_01796 ko:K02005
CKJNFLKG_01797 ko:K02003
CKJNFLKG_01798 ko:K00057
CKJNFLKG_01799 ko:K08591
CKJNFLKG_01800 ko:K03977
CKJNFLKG_01801 -
CKJNFLKG_01802 ko:K00948
CKJNFLKG_01803 ko:K21471
CKJNFLKG_01804 -
CKJNFLKG_01805 ko:K07460
CKJNFLKG_01806 ko:K03470
CKJNFLKG_01807 ko:K14540
CKJNFLKG_01808 ko:K03100
CKJNFLKG_01809 ko:K02884
CKJNFLKG_01810 -
CKJNFLKG_01811 -
CKJNFLKG_01812 -
CKJNFLKG_01813 -
CKJNFLKG_01814 -
CKJNFLKG_01816 -
CKJNFLKG_01817 -
CKJNFLKG_01818 -
CKJNFLKG_01819 -
CKJNFLKG_01820 ko:K01104
CKJNFLKG_01821 -
CKJNFLKG_01823 -
CKJNFLKG_01840 -
CKJNFLKG_01842 ko:K00554
CKJNFLKG_01843 ko:K02860
CKJNFLKG_01844 ko:K06960
CKJNFLKG_01846 ko:K03106
CKJNFLKG_01847 ko:K09787
CKJNFLKG_01853 ko:K06864
CKJNFLKG_01854 ko:K09121
CKJNFLKG_01855 ko:K07138
CKJNFLKG_01858 ko:K01754
CKJNFLKG_01859 ko:K03110
CKJNFLKG_01860 ko:K03529
CKJNFLKG_01861 ko:K03685
CKJNFLKG_01862 ko:K02078
CKJNFLKG_01863 ko:K03621
CKJNFLKG_01864 -
CKJNFLKG_01865 ko:K02911
CKJNFLKG_01866 ko:K07040
CKJNFLKG_01867 ko:K00925
CKJNFLKG_01868 -
CKJNFLKG_01870 ko:K04759
CKJNFLKG_01871 -
CKJNFLKG_01872 -
CKJNFLKG_01873 ko:K09157
CKJNFLKG_01874 ko:K07166
CKJNFLKG_01875 -
CKJNFLKG_01876 ko:K00859
CKJNFLKG_01877 ko:K02335
CKJNFLKG_01878 -
CKJNFLKG_01879 ko:K00965
CKJNFLKG_01880 ko:K00849
CKJNFLKG_01881 -
CKJNFLKG_01882 -
CKJNFLKG_01883 ko:K01990
CKJNFLKG_01884 ko:K07979
CKJNFLKG_01885 -
CKJNFLKG_01887 ko:K00928
CKJNFLKG_01888 -
CKJNFLKG_01889 -
CKJNFLKG_01891 -
CKJNFLKG_01892 -
CKJNFLKG_01893 -
CKJNFLKG_01894 -
CKJNFLKG_01895 -
CKJNFLKG_01896 -
CKJNFLKG_01897 -
CKJNFLKG_01898 -
CKJNFLKG_01899 -
CKJNFLKG_01900 ko:K00610
CKJNFLKG_01901 ko:K00609
CKJNFLKG_01902 -
CKJNFLKG_01903 ko:K14170
CKJNFLKG_01904 ko:K06923
CKJNFLKG_01905 ko:K00876
CKJNFLKG_01906 -
CKJNFLKG_01907 ko:K03086
CKJNFLKG_01908 ko:K02316
CKJNFLKG_01909 ko:K01129
CKJNFLKG_01910 ko:K01151
CKJNFLKG_01912 -
CKJNFLKG_01914 -
CKJNFLKG_01923 -
CKJNFLKG_01928 -
CKJNFLKG_01929 ko:K00864
CKJNFLKG_01930 -
CKJNFLKG_01933 -
CKJNFLKG_01935 -
CKJNFLKG_01936 ko:K11749
CKJNFLKG_01937 ko:K00099
CKJNFLKG_01938 ko:K00981
CKJNFLKG_01939 ko:K00806
CKJNFLKG_01940 ko:K02838
CKJNFLKG_01941 ko:K09903
CKJNFLKG_01942 -
CKJNFLKG_01943 ko:K03308
CKJNFLKG_01944 -
CKJNFLKG_01945 ko:K01955
CKJNFLKG_01946 -
CKJNFLKG_01948 ko:K01091
CKJNFLKG_01949 -
CKJNFLKG_01950 ko:K09861
CKJNFLKG_01951 -
CKJNFLKG_01952 -
CKJNFLKG_01953 ko:K07216
CKJNFLKG_01956 -
CKJNFLKG_01957 -
CKJNFLKG_01959 -
CKJNFLKG_01961 -
CKJNFLKG_01962 -
CKJNFLKG_01963 -
CKJNFLKG_01970 -
CKJNFLKG_01972 ko:K01990
CKJNFLKG_01973 ko:K07979
CKJNFLKG_01977 -
CKJNFLKG_01979 -
CKJNFLKG_01980 -
CKJNFLKG_01981 -
CKJNFLKG_01982 -
CKJNFLKG_01983 -
CKJNFLKG_01984 -
CKJNFLKG_01985 -
CKJNFLKG_01986 ko:K13678
CKJNFLKG_01987 ko:K19002
CKJNFLKG_01996 -
CKJNFLKG_02017 -
CKJNFLKG_02048 -
CKJNFLKG_02050 -
CKJNFLKG_02051 ko:K03169
CKJNFLKG_02052 ko:K00133
CKJNFLKG_02053 ko:K01755
CKJNFLKG_02054 ko:K09765
CKJNFLKG_02055 ko:K03778
CKJNFLKG_02056 ko:K02049
CKJNFLKG_02057 ko:K02050
CKJNFLKG_02058 -
CKJNFLKG_02059 -
CKJNFLKG_02060 -
CKJNFLKG_02061 -
CKJNFLKG_02062 ko:K09013
CKJNFLKG_02063 ko:K07126
CKJNFLKG_02064 ko:K01696,ko:K06001
CKJNFLKG_02065 -
CKJNFLKG_02066 -
CKJNFLKG_02067 -
CKJNFLKG_02068 -
CKJNFLKG_02069 -
CKJNFLKG_02070 -
CKJNFLKG_02071 -
CKJNFLKG_02072 ko:K11069
CKJNFLKG_02073 ko:K11070
CKJNFLKG_02074 ko:K11071
CKJNFLKG_02075 ko:K11072
CKJNFLKG_02079 -
CKJNFLKG_02080 -
CKJNFLKG_02081 -
CKJNFLKG_02082 -
CKJNFLKG_02083 ko:K03442
CKJNFLKG_02084 ko:K00700
CKJNFLKG_02085 ko:K00088
CKJNFLKG_02088 ko:K00334
CKJNFLKG_02089 ko:K00335
CKJNFLKG_02090 ko:K00336
CKJNFLKG_02092 -
CKJNFLKG_02093 -
CKJNFLKG_02094 -
CKJNFLKG_02095 -
CKJNFLKG_02096 ko:K00058
CKJNFLKG_02097 ko:K00831
CKJNFLKG_02098 ko:K01652
CKJNFLKG_02099 ko:K01687
CKJNFLKG_02100 ko:K00052
CKJNFLKG_02107 -
CKJNFLKG_02109 ko:K01752
CKJNFLKG_02110 ko:K01752
CKJNFLKG_02111 ko:K03210
CKJNFLKG_02112 ko:K00773
CKJNFLKG_02113 -
CKJNFLKG_02114 ko:K06409
CKJNFLKG_02115 ko:K03648
CKJNFLKG_02116 -
CKJNFLKG_02117 -
CKJNFLKG_02121 -
CKJNFLKG_02127 -
CKJNFLKG_02128 ko:K03664
CKJNFLKG_02129 ko:K12573
CKJNFLKG_02130 ko:K03075
CKJNFLKG_02131 ko:K01689
CKJNFLKG_02132 -
CKJNFLKG_02133 -
CKJNFLKG_02134 -
CKJNFLKG_02135 -
CKJNFLKG_02139 ko:K15633
CKJNFLKG_02140 ko:K02028
CKJNFLKG_02141 -
CKJNFLKG_02142 ko:K02030
CKJNFLKG_02143 -
CKJNFLKG_02144 ko:K04070
CKJNFLKG_02145 ko:K01803
CKJNFLKG_02146 ko:K00927
CKJNFLKG_02147 ko:K00134
CKJNFLKG_02148 ko:K04486
CKJNFLKG_02149 ko:K00566
CKJNFLKG_02150 ko:K04488
CKJNFLKG_02151 ko:K04487
CKJNFLKG_02152 -
CKJNFLKG_02153 ko:K06409
CKJNFLKG_02156 -
CKJNFLKG_02157 ko:K01626
CKJNFLKG_02158 ko:K04763
CKJNFLKG_02160 ko:K18682
CKJNFLKG_02161 ko:K03565
CKJNFLKG_02162 ko:K03553
CKJNFLKG_02163 -
CKJNFLKG_02164 -
CKJNFLKG_02165 ko:K02004
CKJNFLKG_02166 ko:K02003
CKJNFLKG_02167 -
CKJNFLKG_02168 -
CKJNFLKG_02170 ko:K00703
CKJNFLKG_02171 ko:K07699
CKJNFLKG_02172 ko:K06399
CKJNFLKG_02173 ko:K03631
CKJNFLKG_02174 ko:K03402
CKJNFLKG_02175 ko:K00858
CKJNFLKG_02176 ko:K06442
CKJNFLKG_02177 ko:K01662
CKJNFLKG_02178 ko:K13789
CKJNFLKG_02179 ko:K03602
CKJNFLKG_02180 ko:K03601
CKJNFLKG_02181 ko:K03625
CKJNFLKG_02182 -
CKJNFLKG_02183 ko:K07043
CKJNFLKG_02184 ko:K02837
CKJNFLKG_02185 ko:K06397
CKJNFLKG_02186 ko:K06396
CKJNFLKG_02187 ko:K06395
CKJNFLKG_02188 ko:K06394
CKJNFLKG_02189 ko:K06393
CKJNFLKG_02190 ko:K06392
CKJNFLKG_02191 ko:K06391
CKJNFLKG_02192 ko:K06390
CKJNFLKG_02193 -
CKJNFLKG_02196 -
CKJNFLKG_02197 -
CKJNFLKG_02198 ko:K06133
CKJNFLKG_02199 ko:K03657
CKJNFLKG_02200 ko:K01885
CKJNFLKG_02209 -
CKJNFLKG_02210 -
CKJNFLKG_02211 -
CKJNFLKG_02212 ko:K01487
CKJNFLKG_02220 -
CKJNFLKG_02222 -
CKJNFLKG_02223 ko:K01962,ko:K01963
CKJNFLKG_02224 ko:K01961
CKJNFLKG_02225 ko:K02372
CKJNFLKG_02226 ko:K02160
CKJNFLKG_02227 ko:K09458
CKJNFLKG_02228 ko:K00059
CKJNFLKG_02229 ko:K00645
CKJNFLKG_02230 ko:K02078
CKJNFLKG_02231 ko:K03588
CKJNFLKG_02232 ko:K01126
CKJNFLKG_02233 -
CKJNFLKG_02234 -
CKJNFLKG_02235 -
CKJNFLKG_02236 -
CKJNFLKG_02237 ko:K06333
CKJNFLKG_02238 -
CKJNFLKG_02240 ko:K00046,ko:K00065
CKJNFLKG_02241 ko:K08322
CKJNFLKG_02242 ko:K11690
CKJNFLKG_02244 -
CKJNFLKG_02245 -
CKJNFLKG_02246 -
CKJNFLKG_02247 -
CKJNFLKG_02250 -
CKJNFLKG_02251 -
CKJNFLKG_02252 -
CKJNFLKG_02257 ko:K06334
CKJNFLKG_02258 -
CKJNFLKG_02259 -
CKJNFLKG_02260 -
CKJNFLKG_02261 -
CKJNFLKG_02262 -
CKJNFLKG_02263 -
CKJNFLKG_02264 -
CKJNFLKG_02266 -
CKJNFLKG_02268 -
CKJNFLKG_02270 -
CKJNFLKG_02271 ko:K03660
CKJNFLKG_02272 -
CKJNFLKG_02273 -
CKJNFLKG_02274 -
CKJNFLKG_02275 -
CKJNFLKG_02276 -
CKJNFLKG_02277 -
CKJNFLKG_02278 ko:K01006
CKJNFLKG_02279 -
CKJNFLKG_02280 -
CKJNFLKG_02281 -
CKJNFLKG_02282 -
CKJNFLKG_02283 -
CKJNFLKG_02284 -
CKJNFLKG_02285 -
CKJNFLKG_02286 -
CKJNFLKG_02287 -
CKJNFLKG_02288 ko:K21071
CKJNFLKG_02289 ko:K07282
CKJNFLKG_02291 -
CKJNFLKG_02292 -
CKJNFLKG_02293 -
CKJNFLKG_02294 -
CKJNFLKG_02295 -
CKJNFLKG_02296 ko:K01880
CKJNFLKG_02297 ko:K03584
CKJNFLKG_02298 ko:K03595
CKJNFLKG_02299 ko:K06972
CKJNFLKG_02300 -
CKJNFLKG_02301 ko:K00762
CKJNFLKG_02302 ko:K01126
CKJNFLKG_02304 ko:K03737
CKJNFLKG_02305 -
CKJNFLKG_02306 -
CKJNFLKG_02307 -
CKJNFLKG_02308 -
CKJNFLKG_02309 -
CKJNFLKG_02312 -
CKJNFLKG_02313 -
CKJNFLKG_02314 ko:K00526
CKJNFLKG_02315 ko:K00525
CKJNFLKG_02317 -
CKJNFLKG_02337 -
CKJNFLKG_02342 ko:K00651
CKJNFLKG_02343 ko:K06131
CKJNFLKG_02344 ko:K01972
CKJNFLKG_02345 ko:K06182
CKJNFLKG_02346 -
CKJNFLKG_02347 -
CKJNFLKG_02349 -
CKJNFLKG_02354 ko:K02356
CKJNFLKG_02355 ko:K07015
CKJNFLKG_02356 ko:K01647
CKJNFLKG_02357 -
CKJNFLKG_02358 ko:K03169
CKJNFLKG_02359 ko:K03856
CKJNFLKG_02361 ko:K06147
CKJNFLKG_02362 ko:K06147
CKJNFLKG_02363 -
CKJNFLKG_02364 -
CKJNFLKG_02365 ko:K14260
CKJNFLKG_02367 -
CKJNFLKG_02371 ko:K07738
CKJNFLKG_02372 -
CKJNFLKG_02374 -
CKJNFLKG_02378 ko:K03091
CKJNFLKG_02379 ko:K01868
CKJNFLKG_02380 ko:K06153
CKJNFLKG_02381 -
CKJNFLKG_02383 -
CKJNFLKG_02384 ko:K00874
CKJNFLKG_02385 ko:K00874
CKJNFLKG_02386 ko:K01625
CKJNFLKG_02387 -
CKJNFLKG_02388 ko:K03091
CKJNFLKG_02389 ko:K06383
CKJNFLKG_02390 ko:K03785
CKJNFLKG_02391 ko:K00014
CKJNFLKG_02393 -
CKJNFLKG_02394 -
CKJNFLKG_02395 -
CKJNFLKG_02396 ko:K03531
CKJNFLKG_02397 ko:K03589
CKJNFLKG_02398 ko:K00790
CKJNFLKG_02399 ko:K03588
CKJNFLKG_02400 ko:K01925
CKJNFLKG_02401 ko:K01000
CKJNFLKG_02402 ko:K08384
CKJNFLKG_02403 ko:K08384
CKJNFLKG_02404 -
CKJNFLKG_02405 ko:K03438
CKJNFLKG_02406 ko:K03925
CKJNFLKG_02408 -
CKJNFLKG_02409 ko:K06942
CKJNFLKG_02410 ko:K00949
CKJNFLKG_02412 ko:K01783
CKJNFLKG_02413 ko:K06949
CKJNFLKG_02414 ko:K12132
CKJNFLKG_02415 ko:K20074
CKJNFLKG_02416 ko:K06941
CKJNFLKG_02417 ko:K03500
CKJNFLKG_02418 ko:K00604
CKJNFLKG_02419 ko:K01462
CKJNFLKG_02420 ko:K04066
CKJNFLKG_02421 ko:K04066
CKJNFLKG_02422 ko:K01928
CKJNFLKG_02423 ko:K00926
CKJNFLKG_02424 -
CKJNFLKG_02425 -
CKJNFLKG_02427 -
CKJNFLKG_02428 ko:K06153
CKJNFLKG_02429 ko:K01955
CKJNFLKG_02430 ko:K01956
CKJNFLKG_02491 -
CKJNFLKG_02492 -
CKJNFLKG_02493 -
CKJNFLKG_02494 -
CKJNFLKG_02495 -
CKJNFLKG_02496 -
CKJNFLKG_02497 -
CKJNFLKG_02498 -
CKJNFLKG_02499 -
CKJNFLKG_02500 -
CKJNFLKG_02501 -
CKJNFLKG_02502 -
CKJNFLKG_02507 -
CKJNFLKG_02508 -
CKJNFLKG_02509 ko:K07258
CKJNFLKG_02511 -
CKJNFLKG_02512 -
CKJNFLKG_02519 -
CKJNFLKG_02520 -
CKJNFLKG_02522 -
CKJNFLKG_02524 -
CKJNFLKG_02525 -
CKJNFLKG_02526 -
CKJNFLKG_02527 -
CKJNFLKG_02528 -
CKJNFLKG_02529 ko:K11189
CKJNFLKG_02530 -
CKJNFLKG_02531 ko:K18672
CKJNFLKG_02532 -
CKJNFLKG_02533 -
CKJNFLKG_02534 -
CKJNFLKG_02535 ko:K03581
CKJNFLKG_02536 ko:K03569
CKJNFLKG_02537 ko:K03701
CKJNFLKG_02538 -
CKJNFLKG_02539 -
CKJNFLKG_02540 ko:K03596
CKJNFLKG_02541 ko:K06385
CKJNFLKG_02542 ko:K06012
CKJNFLKG_02543 ko:K02968
CKJNFLKG_02544 ko:K02340
CKJNFLKG_02545 ko:K02238
CKJNFLKG_02546 ko:K06298
CKJNFLKG_02547 -
CKJNFLKG_02548 -
CKJNFLKG_02549 ko:K02237
CKJNFLKG_02550 -
CKJNFLKG_02551 -
CKJNFLKG_02552 -
CKJNFLKG_02553 -
CKJNFLKG_02554 -
CKJNFLKG_02556 -
CKJNFLKG_02559 ko:K02314
CKJNFLKG_02560 ko:K02939
CKJNFLKG_02561 -
CKJNFLKG_02564 ko:K02963
CKJNFLKG_02565 ko:K03111
CKJNFLKG_02566 ko:K02990
CKJNFLKG_02567 -
CKJNFLKG_02568 ko:K12410
CKJNFLKG_02569 ko:K08600
CKJNFLKG_02570 -
CKJNFLKG_02572 -
CKJNFLKG_02573 -
CKJNFLKG_02574 ko:K01182
CKJNFLKG_02575 ko:K00705
CKJNFLKG_02576 ko:K00661
CKJNFLKG_02586 ko:K03438
CKJNFLKG_02587 -
CKJNFLKG_02588 -
CKJNFLKG_02589 -
CKJNFLKG_02590 -
CKJNFLKG_02592 -
CKJNFLKG_02594 ko:K10117
CKJNFLKG_02597 -
CKJNFLKG_02598 ko:K01712
CKJNFLKG_02615 -
CKJNFLKG_02616 -
CKJNFLKG_02621 ko:K03523
CKJNFLKG_02623 ko:K04758
CKJNFLKG_02624 -
CKJNFLKG_02625 -
CKJNFLKG_02641 ko:K04759
CKJNFLKG_02649 ko:K03310
CKJNFLKG_02650 ko:K00259
CKJNFLKG_02653 -
CKJNFLKG_02656 -
CKJNFLKG_02657 -
CKJNFLKG_02660 -
CKJNFLKG_02662 -
CKJNFLKG_02663 -
CKJNFLKG_02664 -
CKJNFLKG_02665 -
CKJNFLKG_02666 ko:K02529
CKJNFLKG_02668 ko:K10119
CKJNFLKG_02669 ko:K10201
CKJNFLKG_02673 ko:K02529
CKJNFLKG_02674 ko:K08744
CKJNFLKG_02676 ko:K07240
CKJNFLKG_02677 -
CKJNFLKG_02678 -
CKJNFLKG_02679 ko:K06518
CKJNFLKG_02681 -
CKJNFLKG_02682 ko:K01190
CKJNFLKG_02683 -
CKJNFLKG_02684 -
CKJNFLKG_02685 -
CKJNFLKG_02686 -
CKJNFLKG_02687 ko:K01778
CKJNFLKG_02688 -
CKJNFLKG_02689 ko:K06410
CKJNFLKG_02690 ko:K06411
CKJNFLKG_02691 ko:K01953
CKJNFLKG_02693 -
CKJNFLKG_02694 -
CKJNFLKG_02696 -
CKJNFLKG_02697 -
CKJNFLKG_02698 -
CKJNFLKG_02700 -
CKJNFLKG_02704 -
CKJNFLKG_02706 -
CKJNFLKG_02715 -
CKJNFLKG_02716 -
CKJNFLKG_02717 -
CKJNFLKG_02719 ko:K10540
CKJNFLKG_02720 ko:K10439
CKJNFLKG_02721 ko:K07718
CKJNFLKG_02722 ko:K07720
CKJNFLKG_02723 ko:K10541
CKJNFLKG_02724 ko:K10542
CKJNFLKG_02725 ko:K10540
CKJNFLKG_02726 -
CKJNFLKG_02734 -
CKJNFLKG_02737 -
CKJNFLKG_02741 ko:K06973
CKJNFLKG_02743 -
CKJNFLKG_02756 -
CKJNFLKG_02759 -
CKJNFLKG_02760 -
CKJNFLKG_02762 -
CKJNFLKG_02766 -
CKJNFLKG_02767 -
CKJNFLKG_02776 -
CKJNFLKG_02778 -
CKJNFLKG_02780 -
CKJNFLKG_02782 -
CKJNFLKG_02787 -
CKJNFLKG_02789 ko:K01990
CKJNFLKG_02790 -
CKJNFLKG_02792 ko:K01462
CKJNFLKG_02793 -
CKJNFLKG_02794 -
CKJNFLKG_02802 ko:K00991
CKJNFLKG_02803 ko:K01409
CKJNFLKG_02804 ko:K00784
CKJNFLKG_02805 -
CKJNFLKG_02806 ko:K03789
CKJNFLKG_02807 -
CKJNFLKG_02808 ko:K06925
CKJNFLKG_02809 ko:K03768
CKJNFLKG_02810 -
CKJNFLKG_02811 ko:K05366
CKJNFLKG_02812 ko:K00845
CKJNFLKG_02813 ko:K06023
CKJNFLKG_02814 ko:K03703
CKJNFLKG_02815 ko:K03798
CKJNFLKG_02816 -
CKJNFLKG_02817 ko:K01784
CKJNFLKG_02818 -
CKJNFLKG_02819 -
CKJNFLKG_02826 -
CKJNFLKG_02832 -
CKJNFLKG_02835 -
CKJNFLKG_02837 -
CKJNFLKG_02838 -
CKJNFLKG_02839 -
CKJNFLKG_02840 -
CKJNFLKG_02841 -
CKJNFLKG_02842 -
CKJNFLKG_02843 -
CKJNFLKG_02844 -
CKJNFLKG_02845 -
CKJNFLKG_02848 -
CKJNFLKG_02849 -
CKJNFLKG_02850 -
CKJNFLKG_02869 -
CKJNFLKG_02874 -
CKJNFLKG_02894 -
CKJNFLKG_02895 ko:K02564
CKJNFLKG_02896 ko:K01992
CKJNFLKG_02897 ko:K01990
CKJNFLKG_02898 -
CKJNFLKG_02899 ko:K07729
CKJNFLKG_02900 -
CKJNFLKG_02901 ko:K00147
CKJNFLKG_02902 ko:K02003
CKJNFLKG_02903 -
CKJNFLKG_02904 -
CKJNFLKG_02905 ko:K03499
CKJNFLKG_02906 ko:K03498
CKJNFLKG_02907 -
CKJNFLKG_02908 -
CKJNFLKG_02912 ko:K07636
CKJNFLKG_02913 ko:K07658
CKJNFLKG_02914 ko:K03324
CKJNFLKG_02916 ko:K03783
CKJNFLKG_02921 ko:K03624
CKJNFLKG_02922 ko:K07105
CKJNFLKG_02923 ko:K00767
CKJNFLKG_02924 ko:K00278
CKJNFLKG_02925 ko:K03517
CKJNFLKG_02926 -
CKJNFLKG_02928 -
CKJNFLKG_02929 -
CKJNFLKG_02930 -
CKJNFLKG_02932 -
CKJNFLKG_02933 -
CKJNFLKG_02934 -
CKJNFLKG_02943 -
CKJNFLKG_02944 ko:K07646
CKJNFLKG_02945 ko:K01548
CKJNFLKG_02946 ko:K01547
CKJNFLKG_02947 ko:K01546
CKJNFLKG_02952 ko:K02996
CKJNFLKG_02953 ko:K02871
CKJNFLKG_02954 -
CKJNFLKG_02955 -
CKJNFLKG_02956 -
CKJNFLKG_02957 -
CKJNFLKG_02958 -
CKJNFLKG_02961 -
CKJNFLKG_02962 -
CKJNFLKG_02963 ko:K00876
CKJNFLKG_02964 -
CKJNFLKG_02965 -
CKJNFLKG_02966 ko:K06901
CKJNFLKG_02969 -
CKJNFLKG_02970 -
CKJNFLKG_02971 -
CKJNFLKG_02974 -
CKJNFLKG_02976 -
CKJNFLKG_02978 -
CKJNFLKG_02984 -
CKJNFLKG_02985 -
CKJNFLKG_02986 ko:K01206
CKJNFLKG_02987 -
CKJNFLKG_02988 -
CKJNFLKG_02989 -
CKJNFLKG_02990 -
CKJNFLKG_02991 -
CKJNFLKG_02992 -
CKJNFLKG_03003 -
CKJNFLKG_03027 ko:K03215
CKJNFLKG_03028 ko:K03698
CKJNFLKG_03029 ko:K04771
CKJNFLKG_03030 ko:K07456
CKJNFLKG_03031 -
CKJNFLKG_03032 -
CKJNFLKG_03033 ko:K03216
CKJNFLKG_03034 -
CKJNFLKG_03036 ko:K03763
CKJNFLKG_03037 ko:K10773
CKJNFLKG_03038 -
CKJNFLKG_03040 -
CKJNFLKG_03042 -
CKJNFLKG_03043 ko:K21636
CKJNFLKG_03044 -
CKJNFLKG_03045 ko:K01778
CKJNFLKG_03046 -
CKJNFLKG_03047 -
CKJNFLKG_03048 -
CKJNFLKG_03049 -
CKJNFLKG_03052 ko:K01745
CKJNFLKG_03053 -
CKJNFLKG_03059 ko:K02027
CKJNFLKG_03062 -
CKJNFLKG_03063 -
CKJNFLKG_03070 -
CKJNFLKG_03072 ko:K07720
CKJNFLKG_03076 -
CKJNFLKG_03078 -
CKJNFLKG_03083 -
CKJNFLKG_03084 -
CKJNFLKG_03098 -
CKJNFLKG_03099 -
CKJNFLKG_03106 -
CKJNFLKG_03109 -
CKJNFLKG_03113 -
CKJNFLKG_03157 -
CKJNFLKG_03166 ko:K07095
CKJNFLKG_03167 ko:K02428
CKJNFLKG_03168 ko:K07444
CKJNFLKG_03169 ko:K07095
CKJNFLKG_03170 -
CKJNFLKG_03173 -
CKJNFLKG_03179 -
CKJNFLKG_03180 -
CKJNFLKG_03181 -
CKJNFLKG_03186 -
CKJNFLKG_03187 -
CKJNFLKG_03188 -
CKJNFLKG_03189 ko:K11358
CKJNFLKG_03190 ko:K06147
CKJNFLKG_03191 -
CKJNFLKG_03192 ko:K02598
CKJNFLKG_03194 ko:K00847
CKJNFLKG_03200 ko:K07667
CKJNFLKG_03202 ko:K03499
CKJNFLKG_03203 ko:K03498
CKJNFLKG_03204 -
CKJNFLKG_03205 -
CKJNFLKG_03206 -
CKJNFLKG_03220 -
CKJNFLKG_03221 -
CKJNFLKG_03222 ko:K00046
CKJNFLKG_03223 ko:K01815
CKJNFLKG_03224 -
CKJNFLKG_03225 -
CKJNFLKG_03228 -
CKJNFLKG_03234 ko:K01190
CKJNFLKG_03235 ko:K03327
CKJNFLKG_03243 -
CKJNFLKG_03245 ko:K01262
CKJNFLKG_03246 ko:K06959
CKJNFLKG_03247 ko:K00854
CKJNFLKG_03249 -
CKJNFLKG_03250 -
CKJNFLKG_03251 -
CKJNFLKG_03252 ko:K15635
CKJNFLKG_03253 -
CKJNFLKG_03254 ko:K06209
CKJNFLKG_03255 ko:K02836
CKJNFLKG_03256 -
CKJNFLKG_03257 ko:K03070
CKJNFLKG_03258 -
CKJNFLKG_03259 -
CKJNFLKG_03260 ko:K05808
CKJNFLKG_03262 ko:K00215
CKJNFLKG_03263 ko:K01714
CKJNFLKG_03264 ko:K19221
CKJNFLKG_03265 -
CKJNFLKG_03266 ko:K06207
CKJNFLKG_03267 -
CKJNFLKG_03268 -
CKJNFLKG_03269 ko:K22278
CKJNFLKG_03270 -
CKJNFLKG_03271 -
CKJNFLKG_03272 -
CKJNFLKG_03273 ko:K01198,ko:K01209
CKJNFLKG_03275 -
CKJNFLKG_03276 -
CKJNFLKG_03277 -
CKJNFLKG_03278 -
CKJNFLKG_03279 -
CKJNFLKG_03280 -
CKJNFLKG_03281 -
CKJNFLKG_03282 -
CKJNFLKG_03283 -
CKJNFLKG_03284 -
CKJNFLKG_03285 -
CKJNFLKG_03288 -
CKJNFLKG_03293 -
CKJNFLKG_03295 -
CKJNFLKG_03297 -
CKJNFLKG_03298 -
CKJNFLKG_03299 -
CKJNFLKG_03300 -
CKJNFLKG_03302 -
CKJNFLKG_03303 -
CKJNFLKG_03310 -
CKJNFLKG_03314 ko:K01193
CKJNFLKG_03315 ko:K17318
CKJNFLKG_03316 ko:K17320
CKJNFLKG_03317 ko:K17319
CKJNFLKG_03318 ko:K02529
CKJNFLKG_03351 -
CKJNFLKG_03368 -
