locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKJNFLKG_00944	CDS	519	nfrA2_1	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
CKJNFLKG_00945	CDS	729				hypothetical protein
CKJNFLKG_00946	CDS	960				hypothetical protein
CKJNFLKG_00947	CDS	432				hypothetical protein
CKJNFLKG_00948	CDS	1020				hypothetical protein
CKJNFLKG_00949	CDS	129				hypothetical protein
CKJNFLKG_00950	CDS	1290				hypothetical protein
CKJNFLKG_00951	CDS	573	agrB_2	3.4.-.-		Accessory gene regulator protein B
CKJNFLKG_00952	CDS	732	agrA		COG3279	Accessory gene regulator protein A
CKJNFLKG_00953	CDS	117				hypothetical protein
CKJNFLKG_00954	CDS	177				hypothetical protein
CKJNFLKG_00955	CDS	165				hypothetical protein
CKJNFLKG_00956	CDS	147				hypothetical protein
CKJNFLKG_00957	CDS	147				hypothetical protein
CKJNFLKG_00958	CDS	630	yydI			putative peptide export ATP-binding protein YydI
CKJNFLKG_00959	CDS	708	yydJ			putative peptide export permease protein YydJ
CKJNFLKG_00960	CDS	936	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
CKJNFLKG_00961	CDS	717				hypothetical protein
CKJNFLKG_00962	CDS	771	bcrA_2			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_00963	CDS	657				hypothetical protein
CKJNFLKG_00964	CDS	1197	metK_1	2.5.1.6		S-adenosylmethionine synthase
CKJNFLKG_00965	CDS	261				hypothetical protein
CKJNFLKG_00966	CDS	1830		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
CKJNFLKG_00967	CDS	189				hypothetical protein
CKJNFLKG_00968	CDS	189				hypothetical protein
CKJNFLKG_00969	CDS	276				hypothetical protein
CKJNFLKG_00970	CDS	1296	bchE_1	1.21.98.3		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
CKJNFLKG_00971	CDS	1254				hypothetical protein
CKJNFLKG_00972	CDS	1329	bchE_2	1.21.98.3		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
CKJNFLKG_00973	CDS	849	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
CKJNFLKG_00974	CDS	654				hypothetical protein
CKJNFLKG_00975	CDS	186				hypothetical protein
CKJNFLKG_00976	CDS	2580				hypothetical protein
CKJNFLKG_00977	CDS	222				hypothetical protein
CKJNFLKG_00978	CDS	360				hypothetical protein
CKJNFLKG_00979	CDS	213	cspA		COG1278	Cold shock-like protein CspA
CKJNFLKG_00980	CDS	663				hypothetical protein
CKJNFLKG_00981	CDS	240				hypothetical protein
CKJNFLKG_00982	CDS	900				hypothetical protein
CKJNFLKG_00983	CDS	996	splB	4.1.99.14	COG1533	Spore photoproduct lyase
CKJNFLKG_00984	CDS	858	rhaS_3			HTH-type transcriptional activator RhaS
CKJNFLKG_00985	CDS	2583				hypothetical protein
CKJNFLKG_00986	CDS	510				hypothetical protein
CKJNFLKG_00987	CDS	966	rhaR_5			HTH-type transcriptional activator RhaR
CKJNFLKG_00988	CDS	345				hypothetical protein
CKJNFLKG_00989	CDS	534				hypothetical protein
CKJNFLKG_00990	CDS	477	sigW_2		COG1595	ECF RNA polymerase sigma factor SigW
CKJNFLKG_00991	CDS	708				hypothetical protein
CKJNFLKG_00992	CDS	567				hypothetical protein
CKJNFLKG_00993	CDS	165				hypothetical protein
CKJNFLKG_00994	CDS	222				hypothetical protein
CKJNFLKG_00995	CDS	582				hypothetical protein
CKJNFLKG_00996	CDS	675	graR_1		COG0745	Response regulator protein GraR
CKJNFLKG_00997	CDS	1401	yeeO_3		COG0534	putative FMN/FAD exporter YeeO
CKJNFLKG_00998	CDS	396				hypothetical protein
CKJNFLKG_00999	CDS	186				hypothetical protein
CKJNFLKG_01000	CDS	315				hypothetical protein
CKJNFLKG_01001	CDS	186				hypothetical protein
CKJNFLKG_01002	CDS	711	ypdB_1		COG3279	Transcriptional regulatory protein YpdB
CKJNFLKG_01003	CDS	1314				hypothetical protein
CKJNFLKG_01004	CDS	780				hypothetical protein
CKJNFLKG_01005	CDS	1497				hypothetical protein
CKJNFLKG_01006	CDS	690	bcrA_3			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_01007	CDS	453				hypothetical protein
CKJNFLKG_01008	CDS	819	dapE_3	3.5.1.18		Succinyl-diaminopimelate desuccinylase
CKJNFLKG_01009	CDS	474				hypothetical protein
CKJNFLKG_01010	CDS	678				hypothetical protein
CKJNFLKG_01011	CDS	864	rob		COG2207	Right origin-binding protein
CKJNFLKG_01012	CDS	1107				hypothetical protein
CKJNFLKG_01013	CDS	441			COG3279	putative HTH-type transcriptional regulator
CKJNFLKG_01014	CDS	498				hypothetical protein
CKJNFLKG_01015	CDS	855		3.6.3.-	COG1131	Fluoroquinolones export ATP-binding protein
CKJNFLKG_01016	CDS	699				hypothetical protein
CKJNFLKG_01017	CDS	948	cynR_1			HTH-type transcriptional regulator CynR
CKJNFLKG_01018	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
CKJNFLKG_01019	CDS	888	fda	4.1.2.13	COG3588	Fructose-bisphosphate aldolase class 1
CKJNFLKG_01020	CDS	531				hypothetical protein
CKJNFLKG_01021	CDS	681				hypothetical protein
CKJNFLKG_01022	CDS	675				hypothetical protein
CKJNFLKG_01023	CDS	2088	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
CKJNFLKG_01024	CDS	303				hypothetical protein
CKJNFLKG_01025	CDS	141				hypothetical protein
CKJNFLKG_01026	CDS	957	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
CKJNFLKG_01027	CDS	384				hypothetical protein
CKJNFLKG_01028	CDS	1899				hypothetical protein
CKJNFLKG_01029	CDS	1851				hypothetical protein
CKJNFLKG_01030	CDS	903	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
CKJNFLKG_01031	CDS	306				hypothetical protein
CKJNFLKG_01032	CDS	888	hcaR_2			Hca operon transcriptional activator HcaR
CKJNFLKG_01033	CDS	462				hypothetical protein
CKJNFLKG_01034	CDS	1764			COG1132	putative ABC transporter ATP-binding protein
CKJNFLKG_01035	CDS	1932			COG1132	putative ABC transporter ATP-binding protein
CKJNFLKG_01036	CDS	279				hypothetical protein
CKJNFLKG_01037	CDS	642				hypothetical protein
CKJNFLKG_01038	CDS	504				hypothetical protein
CKJNFLKG_01039	CDS	570				hypothetical protein
CKJNFLKG_01040	CDS	1320	rarA		COG2256	Replication-associated recombination protein A
CKJNFLKG_01041	CDS	219				hypothetical protein
CKJNFLKG_01042	CDS	588	yedK_1	3.4.-.-	COG2135	SOS response-associated protein YedK
CKJNFLKG_01043	CDS	1248	dinB_2	2.7.7.7		DNA polymerase IV
CKJNFLKG_01044	CDS	345				hypothetical protein
CKJNFLKG_01045	CDS	186				hypothetical protein
CKJNFLKG_01046	CDS	111				hypothetical protein
CKJNFLKG_01047	CDS	1101				hypothetical protein
CKJNFLKG_01048	CDS	189				hypothetical protein
CKJNFLKG_01049	CDS	1176				hypothetical protein
CKJNFLKG_01050	CDS	1428				hypothetical protein
CKJNFLKG_01051	CDS	768	pflA_1	1.97.1.4		Pyruvate formate-lyase-activating enzyme
CKJNFLKG_01052	CDS	2226	pflB_1	2.3.1.54		Formate acetyltransferase
CKJNFLKG_01053	CDS	354	mgsR		COG1393	Regulatory protein MgsR
CKJNFLKG_01054	CDS	1812				hypothetical protein
CKJNFLKG_01055	CDS	1536	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
CKJNFLKG_01056	CDS	597	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
CKJNFLKG_01057	CDS	225	thiM_2	2.7.1.50		Hydroxyethylthiazole kinase
CKJNFLKG_01058	CDS	660	thiE_1	2.5.1.3		Thiamine-phosphate synthase
CKJNFLKG_01059	CDS	651		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
CKJNFLKG_01060	CDS	810	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
CKJNFLKG_01061	CDS	2253	pflB_2	2.3.1.54		Formate acetyltransferase
CKJNFLKG_01062	CDS	615	pflA_2	1.97.1.4		Pyruvate formate-lyase-activating enzyme
CKJNFLKG_01063	CDS	897				hypothetical protein
CKJNFLKG_01064	CDS	591				hypothetical protein
CKJNFLKG_01065	CDS	201	cspL		COG1278	Cold shock protein 2
CKJNFLKG_01066	CDS	1488	lon	3.4.21.53		Lon protease
CKJNFLKG_01067	CDS	888	hdfR			HTH-type transcriptional regulator HdfR
CKJNFLKG_01068	CDS	306				hypothetical protein
CKJNFLKG_01069	CDS	1641				hypothetical protein
CKJNFLKG_01070	CDS	1179				hypothetical protein
CKJNFLKG_01071	CDS	2988	uvrB_1			UvrABC system protein B
CKJNFLKG_01072	CDS	387	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
CKJNFLKG_01073	CDS	888				hypothetical protein
CKJNFLKG_01074	CDS	444				hypothetical protein
CKJNFLKG_01075	CDS	681	walR_2		COG0745	Transcriptional regulatory protein WalR
CKJNFLKG_01076	CDS	1185	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01077	CDS	876	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_01078	CDS	1395				hypothetical protein
CKJNFLKG_01079	CDS	438				hypothetical protein
CKJNFLKG_01080	CDS	519				hypothetical protein
CKJNFLKG_01081	CDS	840				hypothetical protein
CKJNFLKG_01082	CDS	1191				hypothetical protein
CKJNFLKG_01083	CDS	204				hypothetical protein
CKJNFLKG_01084	CDS	147	Int-Tn_2			Transposase from transposon Tn916
CKJNFLKG_01085	CDS	1107	Int-Tn_3			Transposase from transposon Tn916
CKJNFLKG_01086	CDS	468	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
CKJNFLKG_01087	CDS	1212	rhaS_4			HTH-type transcriptional activator RhaS
CKJNFLKG_01088	CDS	1215				hypothetical protein
CKJNFLKG_01089	CDS	1530	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
CKJNFLKG_01090	CDS	1398	xylP_3			Isoprimeverose transporter
CKJNFLKG_01091	CDS	672				hypothetical protein
CKJNFLKG_01092	CDS	309	trxA_1			Thioredoxin 1
CKJNFLKG_01093	CDS	876	trxB_2	1.8.1.9		Thioredoxin reductase
CKJNFLKG_01094	CDS	738	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacetylase
CKJNFLKG_01095	CDS	594	atpB		COG0356	ATP synthase subunit a
CKJNFLKG_01096	CDS	216	atpE_1			ATP synthase subunit c, sodium ion specific
CKJNFLKG_01097	CDS	495	atpF_1			ATP synthase subunit b, sodium ion specific
CKJNFLKG_01098	CDS	504	atpD_1			ATP synthase subunit delta
CKJNFLKG_01099	CDS	1509	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
CKJNFLKG_01100	CDS	900	atpG		COG0224	ATP synthase gamma chain, sodium ion specific
CKJNFLKG_01101	CDS	1389	atpD_2	7.1.2.2	COG0055	ATP synthase subunit beta
CKJNFLKG_01102	CDS	414	atpC_1			ATP synthase epsilon chain
CKJNFLKG_01103	CDS	2277	lacZ_2	3.2.1.23		Beta-galactosidase
CKJNFLKG_01104	CDS	93				hypothetical protein
CKJNFLKG_01105	CDS	480				hypothetical protein
CKJNFLKG_01106	CDS	579	yedK_2	3.4.-.-	COG2135	SOS response-associated protein YedK
CKJNFLKG_01107	CDS	1251	dinB_3	2.7.7.7		DNA polymerase IV
CKJNFLKG_01108	CDS	774	mta_1		COG0789	HTH-type transcriptional activator mta
CKJNFLKG_01109	CDS	912				hypothetical protein
CKJNFLKG_01110	CDS	378	ytrA_2		COG1725	HTH-type transcriptional repressor YtrA
CKJNFLKG_01111	CDS	861	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_01112	CDS	648				hypothetical protein
CKJNFLKG_01113	CDS	222				hypothetical protein
CKJNFLKG_01114	CDS	702	regX3_1		COG0745	Sensory transduction protein regX3
CKJNFLKG_01115	CDS	924	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_01116	CDS	924	bcrA_4			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_01117	CDS	735				hypothetical protein
CKJNFLKG_01118	CDS	777	bcrB			Bacitracin transport permease protein BcrB
CKJNFLKG_01119	CDS	153				hypothetical protein
CKJNFLKG_01120	CDS	702	walR_3		COG0745	Transcriptional regulatory protein WalR
CKJNFLKG_01121	CDS	1122	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_01122	CDS	2109				hypothetical protein
CKJNFLKG_01123	CDS	534				hypothetical protein
CKJNFLKG_01124	CDS	1701				hypothetical protein
CKJNFLKG_01125	CDS	1326				hypothetical protein
CKJNFLKG_01126	CDS	918				hypothetical protein
CKJNFLKG_01127	CDS	840				hypothetical protein
CKJNFLKG_01128	CDS	1110	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_01129	CDS	450				hypothetical protein
CKJNFLKG_01130	CDS	195				hypothetical protein
CKJNFLKG_01131	CDS	309				hypothetical protein
CKJNFLKG_01132	CDS	435				hypothetical protein
CKJNFLKG_01133	CDS	702				hypothetical protein
CKJNFLKG_01134	CDS	189				hypothetical protein
CKJNFLKG_01135	CDS	606		2.3.1.-	COG0110	Putative acetyltransferase
CKJNFLKG_01136	CDS	723			COG0546	putative protein
CKJNFLKG_01137	CDS	549				hypothetical protein
CKJNFLKG_01138	CDS	549				hypothetical protein
CKJNFLKG_01139	CDS	1347				hypothetical protein
CKJNFLKG_01140	CDS	534	ybdM_1		COG1475	putative protein YbdM
CKJNFLKG_01141	CDS	465				hypothetical protein
CKJNFLKG_01142	CDS	411				hypothetical protein
CKJNFLKG_01143	CDS	111				hypothetical protein
CKJNFLKG_01144	CDS	606				hypothetical protein
CKJNFLKG_01145	CDS	549				hypothetical protein
CKJNFLKG_01146	CDS	1461	nanR_2			HTH-type transcriptional repressor NanR
CKJNFLKG_01147	CDS	483				hypothetical protein
CKJNFLKG_01148	CDS	306				hypothetical protein
CKJNFLKG_01149	CDS	771				hypothetical protein
CKJNFLKG_01150	CDS	903	yxlF_1	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
CKJNFLKG_01151	CDS	201				hypothetical protein
CKJNFLKG_01152	CDS	1128				hypothetical protein
CKJNFLKG_01153	CDS	741				hypothetical protein
CKJNFLKG_01154	CDS	894	catM			HTH-type transcriptional regulator CatM
CKJNFLKG_01155	CDS	1992	fldZ_1	1.3.1.-		Cinnamate reductase
CKJNFLKG_01156	CDS	993	cntB		COG0601	Metal-staphylopine import system permease protein CntB
CKJNFLKG_01157	CDS	819	dppC_2		COG1173	Dipeptide transport system permease protein DppC
CKJNFLKG_01158	CDS	1584	appA			Oligopeptide-binding protein AppA
CKJNFLKG_01159	CDS	1524	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_01160	CDS	780				hypothetical protein
CKJNFLKG_01161	CDS	471				hypothetical protein
CKJNFLKG_01162	CDS	1392	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
CKJNFLKG_01163	CDS	1161				hypothetical protein
CKJNFLKG_01164	CDS	513	ilvH_2	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
CKJNFLKG_01165	CDS	1014	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
CKJNFLKG_01166	CDS	897	cynR_2			HTH-type transcriptional regulator CynR
CKJNFLKG_01167	CDS	1269	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
CKJNFLKG_01168	CDS	489	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
CKJNFLKG_01169	CDS	225				hypothetical protein
CKJNFLKG_01170	CDS	348				hypothetical protein
CKJNFLKG_01171	CDS	468				hypothetical protein
CKJNFLKG_01172	CDS	462				hypothetical protein
CKJNFLKG_01173	CDS	474				hypothetical protein
CKJNFLKG_01174	CDS	642				hypothetical protein
CKJNFLKG_01175	CDS	180				hypothetical protein
CKJNFLKG_01176	CDS	720				hypothetical protein
CKJNFLKG_01177	tRNA	74				tRNA-Pro(ggg)
CKJNFLKG_01178	CDS	393				hypothetical protein
CKJNFLKG_01179	CDS	1038				hypothetical protein
CKJNFLKG_01180	CDS	1656	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
CKJNFLKG_01181	CDS	345				hypothetical protein
CKJNFLKG_01182	CDS	441				hypothetical protein
CKJNFLKG_01183	CDS	831				hypothetical protein
CKJNFLKG_01184	CDS	1488	thrC	4.2.3.1	COG0498	Threonine synthase
CKJNFLKG_01185	CDS	1692	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
CKJNFLKG_01186	CDS	834				hypothetical protein
CKJNFLKG_01187	CDS	1065	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
CKJNFLKG_01188	CDS	1569	speE	2.5.1.16		Polyamine aminopropyltransferase
CKJNFLKG_01189	CDS	1488				hypothetical protein
CKJNFLKG_01190	CDS	984				hypothetical protein
CKJNFLKG_01191	CDS	1020	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
CKJNFLKG_01192	CDS	2418	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
CKJNFLKG_01193	CDS	603	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
CKJNFLKG_01194	CDS	1038	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CKJNFLKG_01195	CDS	1500				hypothetical protein
CKJNFLKG_01196	CDS	3438	rssB_3			Regulator of RpoS
CKJNFLKG_01197	CDS	2880	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01198	CDS	123				hypothetical protein
CKJNFLKG_01199	CDS	2733	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01200	CDS	567	kdpE_1		COG0745	KDP operon transcriptional regulatory protein KdpE
CKJNFLKG_01201	CDS	1305				hypothetical protein
CKJNFLKG_01202	CDS	378				hypothetical protein
CKJNFLKG_01203	CDS	810				hypothetical protein
CKJNFLKG_01204	CDS	123				hypothetical protein
CKJNFLKG_01205	CDS	318				hypothetical protein
CKJNFLKG_01206	CDS	327				hypothetical protein
CKJNFLKG_01207	CDS	219				hypothetical protein
CKJNFLKG_01208	CDS	399				hypothetical protein
CKJNFLKG_01209	CDS	240				hypothetical protein
CKJNFLKG_01210	CDS	819				IS3 family transposase ISEfa10
CKJNFLKG_01211	CDS	579				IS3 family transposase ISEfa10
CKJNFLKG_01212	CDS	1356				hypothetical protein
CKJNFLKG_01213	CDS	846	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
CKJNFLKG_01214	CDS	453				hypothetical protein
CKJNFLKG_01215	CDS	2157				hypothetical protein
CKJNFLKG_01216	CDS	201				hypothetical protein
CKJNFLKG_01217	CDS	597				hypothetical protein
CKJNFLKG_01218	CDS	3237				hypothetical protein
CKJNFLKG_01219	CDS	1230				hypothetical protein
CKJNFLKG_01220	CDS	183				hypothetical protein
CKJNFLKG_01221	CDS	867				hypothetical protein
CKJNFLKG_01222	CDS	168				hypothetical protein
CKJNFLKG_01223	CDS	312				hypothetical protein
CKJNFLKG_01224	CDS	747				hypothetical protein
CKJNFLKG_01225	CDS	753				hypothetical protein
CKJNFLKG_01226	CDS	201	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CKJNFLKG_01227	CDS	441	sipV	3.4.21.89	COG0681	Signal peptidase I V
CKJNFLKG_01228	CDS	504				hypothetical protein
CKJNFLKG_01229	CDS	702	bcrA_5			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_01230	CDS	723				hypothetical protein
CKJNFLKG_01231	CDS	732				hypothetical protein
CKJNFLKG_01232	CDS	816	nisI			Nisin immunity protein
CKJNFLKG_01233	CDS	660	saeR_1		COG0745	Response regulator SaeR
CKJNFLKG_01234	CDS	1362	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01235	CDS	174	spaS_1			Lantibiotic subtilin
CKJNFLKG_01236	CDS	174	spaS_2			Lantibiotic subtilin
CKJNFLKG_01237	CDS	174	spaS_3			Lantibiotic subtilin
CKJNFLKG_01238	CDS	174	spaS_4			Lantibiotic subtilin
CKJNFLKG_01239	CDS	150	spaS_5			Lantibiotic subtilin
CKJNFLKG_01240	CDS	666	arlR_4		COG0745	Response regulator ArlR
CKJNFLKG_01241	CDS	1374	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_01242	CDS	3066	nisB			Nisin biosynthesis protein NisB
CKJNFLKG_01243	CDS	1806			COG1132	putative ABC transporter ATP-binding protein
CKJNFLKG_01244	CDS	1323	nisC			Nisin biosynthesis protein NisC
CKJNFLKG_01245	CDS	678				hypothetical protein
CKJNFLKG_01246	CDS	381				hypothetical protein
CKJNFLKG_01247	CDS	726				hypothetical protein
CKJNFLKG_01248	CDS	1329				hypothetical protein
CKJNFLKG_01249	CDS	153				hypothetical protein
CKJNFLKG_01250	CDS	609	agrB_3	3.4.-.-		Accessory gene regulator protein B
CKJNFLKG_01251	CDS	417				hypothetical protein
CKJNFLKG_01252	CDS	453				hypothetical protein
CKJNFLKG_01253	CDS	297				hypothetical protein
CKJNFLKG_01254	CDS	567				hypothetical protein
CKJNFLKG_01255	CDS	855				hypothetical protein
CKJNFLKG_01256	CDS	333				hypothetical protein
CKJNFLKG_01257	CDS	447				hypothetical protein
CKJNFLKG_01258	CDS	807				hypothetical protein
CKJNFLKG_01259	CDS	1683				hypothetical protein
CKJNFLKG_01260	CDS	807				hypothetical protein
CKJNFLKG_01261	CDS	474				hypothetical protein
CKJNFLKG_01262	CDS	750				hypothetical protein
CKJNFLKG_01263	CDS	555				hypothetical protein
CKJNFLKG_01264	CDS	351	ytrE_1		COG1136	ABC transporter ATP-binding protein YtrE
CKJNFLKG_01265	CDS	1380				hypothetical protein
CKJNFLKG_01266	CDS	504				hypothetical protein
CKJNFLKG_01267	CDS	363				hypothetical protein
CKJNFLKG_01268	CDS	240				hypothetical protein
CKJNFLKG_01269	CDS	270				hypothetical protein
CKJNFLKG_01270	CDS	129				hypothetical protein
CKJNFLKG_01271	CDS	216				hypothetical protein
CKJNFLKG_01272	CDS	219				hypothetical protein
CKJNFLKG_01273	CDS	273				hypothetical protein
CKJNFLKG_01274	CDS	126				hypothetical protein
CKJNFLKG_01275	CDS	216				hypothetical protein
CKJNFLKG_01276	CDS	153				hypothetical protein
CKJNFLKG_01277	CDS	243				hypothetical protein
CKJNFLKG_01278	CDS	192				hypothetical protein
CKJNFLKG_01279	CDS	255				hypothetical protein
CKJNFLKG_01280	CDS	258				hypothetical protein
CKJNFLKG_01281	CDS	168				hypothetical protein
CKJNFLKG_01282	CDS	126				hypothetical protein
CKJNFLKG_01283	CDS	222				hypothetical protein
CKJNFLKG_01284	CDS	543				hypothetical protein
CKJNFLKG_01285	CDS	156				hypothetical protein
CKJNFLKG_01286	CDS	186				hypothetical protein
CKJNFLKG_01287	CDS	228				hypothetical protein
CKJNFLKG_01288	CDS	177				hypothetical protein
CKJNFLKG_01289	CDS	216				hypothetical protein
CKJNFLKG_01290	CDS	723				hypothetical protein
CKJNFLKG_01291	CDS	432	rnhA_1	3.1.26.4		Ribonuclease H
CKJNFLKG_01292	CDS	1221				hypothetical protein
CKJNFLKG_01293	CDS	351				hypothetical protein
CKJNFLKG_01294	CDS	495				hypothetical protein
CKJNFLKG_01295	CDS	150				hypothetical protein
CKJNFLKG_01296	CDS	138				hypothetical protein
CKJNFLKG_01297	CDS	375				hypothetical protein
CKJNFLKG_01298	CDS	216				hypothetical protein
CKJNFLKG_01299	CDS	189				hypothetical protein
CKJNFLKG_01300	CDS	273				hypothetical protein
CKJNFLKG_01301	CDS	501				hypothetical protein
CKJNFLKG_01302	CDS	342				hypothetical protein
CKJNFLKG_01303	CDS	297				hypothetical protein
CKJNFLKG_01304	CDS	207				hypothetical protein
CKJNFLKG_01305	CDS	318				hypothetical protein
CKJNFLKG_01306	CDS	1656				hypothetical protein
CKJNFLKG_01307	CDS	1200				hypothetical protein
CKJNFLKG_01308	CDS	789	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
CKJNFLKG_01309	CDS	1461				hypothetical protein
CKJNFLKG_01310	CDS	300				hypothetical protein
CKJNFLKG_01311	CDS	426				hypothetical protein
CKJNFLKG_01312	CDS	369				hypothetical protein
CKJNFLKG_01313	CDS	327				hypothetical protein
CKJNFLKG_01314	CDS	609				hypothetical protein
CKJNFLKG_01315	CDS	390				hypothetical protein
CKJNFLKG_01316	CDS	3447				hypothetical protein
CKJNFLKG_01317	CDS	753				hypothetical protein
CKJNFLKG_01318	CDS	3120				hypothetical protein
CKJNFLKG_01319	CDS	342				hypothetical protein
CKJNFLKG_01320	CDS	198				hypothetical protein
CKJNFLKG_01321	CDS	2307				hypothetical protein
CKJNFLKG_01322	CDS	357				hypothetical protein
CKJNFLKG_01323	CDS	189				hypothetical protein
CKJNFLKG_01324	CDS	405				hypothetical protein
CKJNFLKG_01325	CDS	1032	lyc_1	3.2.1.17	COG3409	Autolytic lysozyme
CKJNFLKG_01326	CDS	654				hypothetical protein
CKJNFLKG_01327	CDS	228				hypothetical protein
CKJNFLKG_01328	CDS	2595				hypothetical protein
CKJNFLKG_01329	CDS	1215	norV_1		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
CKJNFLKG_01330	CDS	648	cat_1	2.3.1.28		Chloramphenicol acetyltransferase
CKJNFLKG_01331	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
CKJNFLKG_01332	CDS	1650		1.18.1.2		Ferredoxin--NADP reductase
CKJNFLKG_01333	CDS	1752				hypothetical protein
CKJNFLKG_01334	CDS	1278				hypothetical protein
CKJNFLKG_01335	CDS	3345	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01336	CDS	3171	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_01337	CDS	1410				hypothetical protein
CKJNFLKG_01338	CDS	963	hcrB	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit beta
CKJNFLKG_01339	CDS	2247	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
CKJNFLKG_01340	CDS	492	ndhS_2	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
CKJNFLKG_01341	CDS	2187				hypothetical protein
CKJNFLKG_01342	CDS	1530	hutH_4	4.3.1.3	COG2986	Histidine ammonia-lyase
CKJNFLKG_01343	CDS	1770		4.2.1.53	COG4716	Oleate hydratase
CKJNFLKG_01344	CDS	567	dhaS			HTH-type dhaKLM operon transcriptional activator DhaS
CKJNFLKG_01345	CDS	1272	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
CKJNFLKG_01346	CDS	1098				hypothetical protein
CKJNFLKG_01347	CDS	2091	fusA_1		COG0480	Elongation factor G
CKJNFLKG_01348	CDS	1593				hypothetical protein
CKJNFLKG_01349	CDS	2415	leuS	6.1.1.4		Leucine--tRNA ligase
CKJNFLKG_01350	CDS	396				hypothetical protein
CKJNFLKG_01351	CDS	327				hypothetical protein
CKJNFLKG_01352	CDS	822	cheR2	2.1.1.80		Chemotaxis protein methyltransferase Cher2
CKJNFLKG_01353	CDS	372	cheY		COG0784	Chemotaxis protein CheY
CKJNFLKG_01354	CDS	1677				hypothetical protein
CKJNFLKG_01355	CDS	624				hypothetical protein
